7:0.031726 33:0.035035 150:0.121412 252:0.030590 253:0.052527 349:0.037639 369:0.034723 384:0.030425 465:0.046867 531:0.044525 683:0.264872 722:0.030311 753:0.180876 754:0.226631 806:0.044032 816:0.067400 859:0.039161 910:0.161535 994:0.028973 1011:0.218999 1026:0.026589 1055:0.032226 1058:0.029537 1071:0.035271 1074:0.026721 1090:0.037789 1149:0.027759 1194:0.038825 1241:0.028409 1324:0.036494 1325:0.030098 1326:0.037920 1327:0.027029 1360:0.047174 1417:0.047219 1422:0.037994 1435:0.043126 1562:0.161698 1577:0.029688 1604:0.028096 1654:0.044232 1692:0.026317 1788:0.033899 1817:0.026250 1827:0.028305 1854:0.029527 1871:0.026233 1963:0.027756 1964:0.123273 1967:0.031898 1979:0.027090 2008:0.084401 2014:0.034530 2015:0.161191 2016:0.234170 2033:0.029531 2069:0.055220 2133:0.089703 2170:0.035830 2240:0.030193 2260:0.152843 2261:0.076729 2337:0.524148 2361:0.032796 2364:0.492177 2370:0.036209 2549:0.027696 2573:0.688558 2595:0.027441 2612:0.040823 2625:0.052457 2685:0.506019 2701:0.049313 2799:0.226449 2804:0.031844 2806:0.026430 2807:0.027203 2858:0.032170 2911:0.954116 2956:0.031485 3003:0.174303 3034:0.030799 3052:0.037049 3099:0.027798 3134:0.029362 3136:0.362527 3185:0.027804 3196:0.033127 3216:0.031925 3234:0.027125 3248:0.035323 3249:0.161698 3269:0.028651 3297:0.035597 3321:0.208167 3327:0.925250 3340:0.031357 3342:0.026829 3350:0.063874 3363:0.028176
89:0.034529 116:0.041303 176:0.029806 218:0.033445 268:0.052781 290:0.030901 340:0.264530 381:0.038174 409:0.032829 676:0.028046 718:0.035868 731:0.053126 745:0.298427 755:0.031086 759:0.036904 768:0.029827 769:0.070558 785:0.034316 826:0.030393 831:0.029840 844:0.033496 860:0.033575 880:0.324762 981:0.028334 994:0.048212 1034:0.029029 1057:0.038426 1071:0.029407 1090:0.029602 1152:0.033351 1162:0.033670 1193:0.042709 1223:0.042135 1291:0.028108 1417:0.037664 1422:0.043915 1462:0.035173 1463:0.030673 1477:0.033790 1532:0.030776 1543:0.043754 1557:0.028505 1627:0.034154 1658:0.032683 1693:0.034568 1695:0.028678 1697:0.211096 1721:0.069669 1745:0.036259 1758:0.027996 1775:0.093677 1827:0.029247 1841:0.044842 1884:0.428065 1885:0.057491 1887:0.041985 1922:0.060020 1963:0.034335 1987:0.034345 2067:0.032825 2071:0.627903 2073:0.633545 2075:0.028294 2119:0.029520 2133:0.030401 2153:0.283316 2281:0.216845 2298:0.029888 2300:0.029032 2327:0.039386 2332:0.036533 2337:0.035247 2375:0.239521 2405:0.029126 2447:0.107566 2545:0.031050 2549:0.294260 2552:0.030137 2573:0.071162 2586:0.414258 2592:0.304353 2615:0.032463 2685:0.113084 2686:0.035295 2710:0.496692 2788:0.033935 2818:0.331942 2996:0.036446 3035:0.039726 3073:0.032660 3095:0.031249 3096:0.074105 3154:0.031974 3215:0.031490 3271:0.033415 3298:0.038519 3321:0.035427 3327:0.972578 3340:0.029963 3363:0.037919
19:0.029544 23:0.031699 30:0.032449 57:0.030045 58:0.031051 107:0.033437 111:0.032509 212:0.045655 224:0.045374 235:0.032376 264:0.034580 284:1.000000 285:0.040050 288:0.752717 300:0.968274 301:0.954790 302:0.048825 411:0.030718 456:0.034853 556:0.035043 597:0.030538 666:0.029347 786:0.030378 813:0.059958 826:0.049448 856:0.032052 859:0.029863 861:0.034083 865:0.031880 896:0.042311 994:0.042218 1027:0.035578 1096:0.048016 1129:0.030069 1188:0.029640 1204:0.047909 1236:0.045885 1273:0.044007 1301:0.036394 1313:0.267099 1437:0.050070 1446:0.032481 1479:0.229505 1504:0.029572 1541:0.029937 1627:0.062148 1693:0.037854 1694:0.030678 1705:0.035853 1707:0.036276 1708:0.033240 1714:0.038866 1742:0.031902 1758:0.111294 1763:0.036697 1781:0.292702 1829:0.033935 1834:0.035148 1857:0.031214 1892:0.212373 1895:0.029349 1902:0.031720 1929:0.032378 1994:0.029711 2090:0.051411 2151:0.031392 2164:0.058259 2201:0.029336 2219:0.157974 2273:0.031676 2305:0.032938 2377:0.045307 2378:0.030947 2379:0.450665 2380:0.034718 2384:0.039415 2417:0.658887 2456:0.046126 2524:0.030260 2547:0.031401 2625:0.029949 2685:0.063486 2716:0.039294 2759:0.029394 2809:0.134155 2849:0.039910 2978:0.030861 2979:0.034325 2981:0.032415 2987:0.030223 3028:0.033636 3099:0.031746 3129:0.040534 3201:0.398719 3312:0.037745 3321:0.265844 3327:0.878129 3333:0.029251 3358:0.050031 3374:0.029841
58:0.032150 59:0.026919 235:0.023239 253:0.503176 268:0.024804 269:0.029538 284:0.040220 290:0.030459 291:0.028276 302:0.023647 400:0.025355 465:0.023964 489:0.028103 531:0.023236 678:0.276611 745:0.022210 806:0.022736 852:0.021825 859:0.035978 896:0.028320 926:0.022180 991:0.021972 994:0.776691 1026:0.026422 1071:0.028852 1152:0.028523 1188:0.354724 1194:0.033047 1264:0.024685 1266:0.021636 1301:0.023962 1374:0.580034 1375:0.590697 1383:0.025993 1392:0.024911 1413:0.034393 1423:0.036500 1428:0.021997 1445:0.025186 1627:0.074212 1633:0.026556 1654:0.024035 1658:0.022723 1694:0.022873 1697:0.021726 1714:0.025065 1742:0.025163 1750:0.023037 1758:0.023973 1781:0.021634 1786:0.022035 1803:0.032364 1841:0.022014 1994:0.021631 2008:0.036014 2014:0.025431 2015:0.027971 2016:0.037132 2069:0.025242 2133:0.023056 2165:0.022811 2203:0.021881 2261:0.029421 2267:0.024737 2315:0.024492 2316:0.023093 2337:0.026364 2419:0.026848 2547:0.032715 2578:0.032301 2625:0.024468 2639:0.021904 2685:0.038407 2687:0.022318 2710:0.032363 2714:0.026938 2716:0.024429 2788:0.024308 2804:0.021628 2843:0.022344 2941:0.021772 2960:0.034998 3000:0.033883 3028:0.021869 3065:0.353306 3066:0.026404 3099:0.021776 3113:0.032555 3114:0.024494 3190:0.422189 3191:0.363294 3194:0.725346 3207:0.023175 3268:0.021629 3297:0.025485 3321:0.122962 3327:0.976646 3340:0.026236 3342:0.022740 3363:0.026486
22:0.034618 87:0.039133 110:0.036004 235:0.046984 253:0.036658 254:0.047730 269:0.037372 291:0.118559 310:0.034599 349:0.042561 370:0.141845 452:0.167163 495:0.185575 496:0.038280 596:0.043341 611:0.070212 769:1.000000 773:0.038015 777:0.718389 780:0.508771 796:0.085238 816:0.041613 826:0.059953 849:0.044927 879:0.054476 929:0.424775 959:0.035679 969:0.058016 1013:0.131139 1037:0.035200 1047:0.334847 1058:0.046198 1102:0.197290 1171:0.110946 1176:0.063007 1193:0.082850 1194:0.162192 1324:0.048954 1326:0.042138 1328:0.068811 1329:0.038084 1360:0.375905 1397:0.038658 1422:0.065108 1449:0.035067 1481:0.036723 1518:0.041769 1577:0.058030 1578:0.035361 1582:0.092547 1583:0.043255 1584:0.874232 1591:0.034369 1627:0.059404 1658:0.056922 1827:0.049366 1873:0.055235 1907:0.037657 1964:0.106242 1980:0.053521 1993:0.036187 2008:0.061946 2031:0.035291 2104:0.060487 2240:0.037167 2261:0.055149 2322:0.034383 2337:0.040302 2342:0.037720 2361:0.063929 2364:0.038608 2372:0.037759 2409:0.057039 2410:0.048013 2522:0.271289 2549:0.049903 2563:0.036800 2589:0.034749 2592:0.033964 2685:0.778215 2738:0.043861 2818:0.108430 2839:0.050660 2911:0.090312 2941:0.055528 2977:0.848636 3034:0.056099 3035:0.035638 3065:0.445809 3079:0.057458 3099:0.034873 3175:0.038723 3184:0.054969 3185:0.034993 3196:0.039168 3227:0.636980 3234:0.058511 3321:0.612023 3327:0.996992 3350:0.087190
23:0.023586 30:0.026188 164:0.419926 168:0.022816 207:0.025566 290:0.027877 291:0.022907 338:0.025839 362:0.024004 411:0.027618 463:0.026300 489:0.026562 511:0.022603 531:0.029345 542:0.030432 562:0.023528 597:0.027651 616:0.024295 666:0.042465 668:0.048571 670:0.024314 676:0.038182 749:0.023186 804:0.024555 826:0.027775 856:0.022571 865:0.033909 896:0.038710 981:0.042524 993:0.023119 1011:0.022483 1039:0.022635 1141:0.043063 1145:0.039053 1152:0.024069 1194:0.030409 1204:0.024289 1258:0.025756 1437:0.023214 1445:0.025331 1449:0.034478 1496:0.454278 1513:0.038400 1627:0.028518 1654:0.026150 1655:0.041369 1694:0.022735 1725:0.024171 1726:0.022668 1781:0.069462 1786:0.031193 1826:0.024236 1888:0.024797 1889:0.026568 1917:0.025898 1928:0.023479 1970:0.023861 1994:0.028253 2141:0.022489 2245:0.023450 2273:0.025901 2305:0.023754 2315:0.027571 2317:0.028625 2321:0.023127 2325:0.023250 2413:0.033632 2476:0.022919 2507:0.487124 2518:0.047107 2527:0.022852 2531:0.084788 2625:0.043295 2639:0.027476 2682:0.024554 2685:0.028578 2714:0.029906 2788:0.034806 2898:0.029175 2909:0.046023 2993:0.024069 2996:0.025534 3026:0.022916 3073:0.030769 3154:0.022791 3166:0.022504 3167:0.024371 3168:0.090369 3174:0.024069 3201:0.029944 3205:0.026696 3207:0.025569 3221:0.034929 3222:0.035735 3321:0.138161 3322:0.023268 3327:0.827533 3333:0.022760 3367:0.054887 3374:0.023560
19:0.029401 30:0.029424 59:0.029692 68:0.036513 204:0.023941 208:0.036261 253:0.023197 290:0.034526 299:0.024884 305:0.263753 336:0.026300 381:0.025542 602:0.036166 616:0.024003 629:0.023095 745:0.046526 746:0.026606 749:0.024587 777:0.024827 832:0.032569 896:0.526168 970:0.023355 972:0.023157 994:0.034920 1026:0.024821 1104:0.025067 1175:0.029831 1194:0.022974 1322:0.023095 1360:0.035821 1396:0.028390 1417:0.023782 1423:0.031488 1444:0.029578 1449:0.044305 1457:0.189870 1473:0.023268 1481:0.029036 1518:0.032529 1532:0.023033 1557:0.026693 1558:0.022945 1560:0.035546 1574:0.026769 1584:0.026723 1693:0.024019 1697:0.022893 1709:0.029290 1714:0.025484 1742:0.031767 1746:0.038414 1755:0.023524 1774:0.112888 1787:0.058315 1803:0.032893 1859:0.031945 1910:0.023914 1942:0.023408 2008:0.028131 2090:0.036486 2158:0.687155 2260:0.459823 2261:0.030938 2262:0.022935 2267:0.027781 2270:0.028792 2273:0.024460 2284:0.030984 2315:0.023371 2332:0.025743 2410:0.023113 2412:0.030768 2449:0.052165 2450:0.033419 2468:0.035521 2549:0.035399 2578:0.024770 2592:0.029818 2843:0.025957 2876:0.025492 2892:0.030268 2898:0.027569 2911:0.049878 2960:0.047394 3045:0.124429 3060:0.449849 3065:0.058037 3068:0.024287 3069:0.023232 3070:0.036098 3071:0.029443 3075:0.023556 3099:0.026496 3116:0.055702 3229:0.024461 3279:0.034121 3298:0.028061 3321:0.122625 3327:0.978250 3352:0.042753
15:0.040708 22:0.028274 65:0.041758 133:0.030910 176:0.545893 190:0.140801 191:0.054672 253:0.028850 268:0.029694 290:0.059091 294:0.052693 346:0.028941 347:0.040936 386:0.037993 433:0.198933 438:0.460940 543:0.049787 628:0.029686 640:0.030317 647:0.061030 704:0.291978 707:0.030524 759:0.046269 766:0.065163 767:0.228979 769:0.832235 771:0.057317 772:0.043694 773:0.192403 777:0.836670 778:0.519208 780:0.668666 856:0.029547 865:0.033800 868:0.032853 879:0.034726 880:0.396362 883:0.342736 896:0.090358 912:0.064699 919:0.028710 921:0.029331 994:0.034172 1026:0.037471 1090:0.028931 1152:0.031295 1193:0.054499 1350:0.039043 1570:0.030062 1575:0.041017 1584:0.042912 1610:0.035314 1627:0.585176 1633:0.036112 1694:0.047768 1758:0.028577 1781:0.056337 1827:0.035503 1877:0.027980 1963:0.034226 1967:0.039558 1987:0.071517 2009:0.030047 2071:0.474321 2073:0.353273 2203:0.028617 2384:0.033602 2406:0.028503 2417:0.705403 2421:0.086515 2447:0.057976 2573:0.285966 2578:0.032782 2586:0.041201 2628:0.029301 2649:0.050715 2685:0.177941 2686:0.039348 2710:0.266717 2716:0.032141 2788:0.906951 2849:0.039732 2911:0.039356 3006:0.059855 3065:0.240403 3073:0.028034 3085:0.094675 3117:0.033365 3180:0.475837 3217:0.030580 3297:0.037094 3312:0.034375 3316:0.032459 3321:0.670691 3327:0.949699 3330:0.039018 3333:0.033475 3340:0.116808 3369:0.072049 3374:0.028699
15:0.029419 19:0.031495 23:0.031789 67:0.029524 93:0.058323 107:0.033477 176:0.952850 235:0.035466 269:0.032183 284:0.063127 290:0.106400 291:0.073148 294:0.107482 296:0.066851 438:0.047680 499:0.029169 505:0.245439 620:0.031487 647:0.029732 681:0.034009 699:0.030541 711:0.036095 767:0.036342 768:0.049702 769:0.449739 777:0.062062 797:0.045336 896:0.049310 913:0.032262 955:0.029523 994:0.051965 1026:0.031389 1152:0.033357 1177:0.036880 1194:0.029610 1200:0.036346 1227:0.031181 1417:0.030258 1449:0.072290 1477:0.039328 1536:0.057328 1574:0.046597 1575:0.031074 1578:0.037860 1627:0.039025 1666:0.291228 1680:0.031620 1694:0.032107 1755:0.040080 1773:0.165779 1781:0.030041 1787:0.039841 1951:0.030075 1962:0.030162 1967:0.034583 1970:0.036801 1987:0.038585 2009:0.160620 2012:0.037593 2077:0.029117 2100:0.029109 2145:0.039298 2158:0.037523 2180:0.035290 2181:0.033531 2239:0.033427 2279:0.038742 2292:0.032137 2370:0.034600 2417:0.375450 2418:0.031184 2447:0.054718 2573:0.079960 2609:0.038325 2682:0.030564 2687:0.029201 2710:0.072773 2711:0.032345 2737:0.036450 2738:0.245008 2739:0.299929 2787:0.068330 2788:0.789124 2797:0.467264 2818:0.036488 2821:0.029867 2824:0.031368 2832:0.034718 2851:0.032191 2875:0.222096 2927:0.030771 2954:0.037445 3060:0.061153 3065:0.138150 3114:0.029902 3134:0.029522 3164:0.048952 3266:0.037958 3321:0.128351 3327:0.903409
58:0.026881 204:0.028420 255:0.024063 290:0.036956 303:0.023400 349:0.023618 386:0.040589 537:0.053069 665:0.025577 683:0.031920 698:0.026053 722:0.024464 746:0.031511 851:0.028568 877:0.023182 991:0.024469 994:0.023446 1032:0.026269 1041:0.027082 1091:0.024658 1189:0.023290 1192:0.024661 1194:0.045047 1347:0.037953 1350:0.025819 1360:0.024076 1364:0.029506 1373:0.022894 1397:0.033019 1417:0.446868 1422:0.037806 1563:0.029800 1578:0.023963 1604:0.023422 1627:0.051770 1647:0.026050 1742:0.166290 1771:0.024203 1780:0.025355 1854:0.027160 1909:0.023632 1910:0.025286 1913:0.023007 1942:0.063700 1943:0.636075 1944:0.211339 1946:0.031477 1947:0.027548 1964:0.057347 1965:0.064005 1967:0.028423 2015:0.025703 2133:0.047634 2172:0.023231 2203:0.024971 2260:0.023000 2325:0.197196 2328:0.028366 2332:0.035723 2333:0.027870 2334:0.215646 2337:0.535117 2363:0.025225 2372:0.022902 2537:0.023670 2549:0.024335 2565:0.026815 2573:0.049867 2685:0.288101 2688:0.027800 2710:0.029613 2814:0.022853 2843:0.031967 2888:0.025412 2892:0.025722 2911:0.596030 2927:0.030572 3035:0.041098 3060:0.028627 3114:0.026006 3134:0.024097 3136:0.032895 3142:0.024395 3147:0.023718 3158:0.026260 3184:0.024102 3248:0.025306 3253:0.024451 3278:0.023515 3297:0.074588 3298:0.026787 3307:0.024144 3314:0.022850 3321:0.066051 3327:0.316638 3331:0.029328 3342:0.027462 3363:0.037451 3386:0.024060 3394:0.023273
23:0.032334 58:0.047584 59:0.032827 70:0.031976 81:0.277456 83:0.229449 135:0.105549 200:0.055314 204:0.039808 212:0.035997 264:0.033032 290:0.367002 291:0.031662 346:0.037700 411:0.034984 438:0.056610 440:0.056389 463:0.041353 531:0.035455 536:0.340447 556:0.035809 606:0.034129 616:0.033484 670:0.037937 749:0.034071 792:0.036266 804:0.367895 837:0.042466 856:0.034277 892:0.035732 896:0.038717 946:0.034982 954:0.035201 956:0.049289 1053:0.031071 1132:0.031242 1152:0.067780 1163:0.030934 1164:0.039302 1188:0.044672 1237:0.031002 1261:0.045696 1291:0.031208 1313:0.031469 1413:0.031436 1419:0.032293 1513:0.227202 1535:0.043858 1627:0.152808 1634:0.033701 1672:0.034164 1704:0.032075 1781:0.157397 1809:0.050751 1855:0.035268 1859:0.044740 1867:0.059841 2062:0.031132 2063:0.033526 2090:0.031949 2152:0.032322 2219:0.033279 2271:0.036268 2273:0.046217 2305:0.042759 2307:0.033754 2447:0.077319 2501:0.036751 2507:0.813734 2516:0.042360 2539:0.038097 2540:0.034805 2577:0.037581 2587:0.043083 2630:0.033056 2631:0.072085 2649:0.208063 2685:0.070992 2696:0.035647 2705:0.060604 2710:0.049873 2788:0.037193 2817:0.037344 2886:0.056684 3026:0.045334 3028:0.035483 3081:0.308164 3121:0.031642 3145:0.032328 3177:0.271109 3207:0.041172 3212:0.045695 3224:0.033338 3260:0.032122 3286:0.225409 3321:0.117791 3327:0.976612 3337:0.033141 3358:0.049329 3374:0.033769
